id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,12/18/2009,avatar,425000000,760507625,2776345279
2,05/20/2011,pirates of the caribbean: on stranger tides,410600000,241063875,1045663875
3,06/07/2019,dark phoenix,350000000,42762350,149762350
4,05/01/2015,avengers: age of ultron,330600000,459005868,1403013963
5,12/15/2017,star wars ep. viii: the last jedi,317000000,620181382,1316721747
6,12/18/2015,star wars ep. vii: the force awakens,306000000,936662225,2053311220
7,04/27/2018,avengers: infinity war,300000000,678815482,2048134200
8,05/24/2007,pirates of the caribbean: at worldâs end,300000000,309420425,963420425
9,11/17/2017,justice league,300000000,229024295,655945209
10,11/06/2015,spectre,300000000,200074175,879620923
11,07/20/2012,the dark knight rises,275000000,448139099,1084439099
12,05/25/2018,solo: a star wars story,275000000,213767512,393151347
13,07/02/2013,the lone ranger,275000000,89302115,260002115
14,03/09/2012,john carter,275000000,73058679,282778100
15,11/24/2010,tangled,260000000,200821936,586477240
16,05/04/2007,spider-man 3,258000000,336530303,894860230
17,05/06/2016,captain america: civil war,250000000,408084349,1140069413
18,03/25/2016,batman v superman: dawn of justice,250000000,330360194,867500281
19,12/14/2012,the hobbit: an unexpected journey,250000000,303003568,1017003568
20,07/15/2009,harry potter and the half-blood prince,250000000,302089278,935213767
21,12/13/2013,the hobbit: the desolation of smaug,250000000,258366855,960366855
22,12/17/2014,the hobbit: the battle of the five armies,250000000,255119788,945577621
23,04/14/2017,the fate of the furious,250000000,225764765,1234846267
24,06/28/2006,superman returns,232000000,200120000,374085065
25,05/26/2017,pirates of the caribbean: dead men tell no tales,230000000,172558876,788241137
26,11/14/2008,quantum of solace,230000000,169368427,591692078
27,05/04/2012,the avengers,225000000,623279547,1517935897
28,07/07/2006,pirates of the caribbean: dead manâs chest,225000000,423315812,1066215812
29,06/14/2013,man of steel,225000000,291045518,667999518
30,05/16/2008,the chronicles of narnia: prince caspian,225000000,141621490,417341288
31,07/03/2012,the amazing spider-man,220000000,262030663,757890267
32,05/18/2012,battleship,220000000,65233400,313477717
33,06/21/2017,transformers: the last knight,217000000,130168683,602893340
34,06/12/2015,jurassic world,215000000,652270625,1648854864
35,05/25/2012,men in black 3,215000000,179020854,654213485
36,06/24/2009,transformers: revenge of the fallen,210000000,402111870,836519699
37,06/27/2014,transformers: age of extinction,210000000,245439076,1104039076
38,05/26/2006,x-men: the last stand,210000000,234362462,459260946
39,05/14/2010,robin hood,210000000,105487148,322459006
40,12/14/2005,king kong,207000000,218080025,550517357
41,12/07/2007,the golden compass,205000000,70107728,367262558
42,02/16/2018,black panther,200000000,700059566,1348258224
43,12/19/1997,titanic,200000000,659363944,2208208395
44,06/15/2018,incredibles 2,200000000,608581744,1242520711
45,12/16/2016,rogue one: a star wars story,200000000,532177324,1049102856
46,06/17/2016,finding dory,200000000,486295561,1021215193
47,06/18/2010,toy story 3,200000000,415004880,1068879522
48,05/03/2013,iron man 3,200000000,408992272,1215392272
49,05/05/2017,guardians of the galaxy vol 2,200000000,389813101,862316233
50,06/30/2004,spider-man 2,200000000,373524485,795110670
51,03/05/2010,alice in wonderland,200000000,334191110,1025491110
52,11/08/2012,skyfall,200000000,304360277,1110526981
53,06/21/2013,monsters university,200000000,268488329,743588329
54,03/08/2013,oz the great and powerful,200000000,234770996,490359051
55,05/23/2014,x-men: days of future past,200000000,233921534,747862775
56,05/02/2014,the amazing spider-man 2,200000000,202853933,708996336
57,06/24/2011,cars 2,200000000,191450875,560155383
58,12/17/2010,tron: legacy,200000000,172062763,400062763
59,11/13/2009,2012,200000000,166112167,757677748
60,11/16/2018,fantastic beasts: the crimes of grindelwald,200000000,159555901,652220086
61,05/21/2009,terminator salvation,200000000,125322469,365491792
62,06/17/2011,green lantern,200000000,116601172,219535492
63,05/28/2010,prince of persia: sands of time,200000000,90759676,336359676
64,06/29/2011,transformers: dark of the moon,195000000,352390543,1123790543
65,06/09/2017,the mummy,195000000,80101125,409953905
66,03/01/2013,jack the giant slayer,195000000,65187603,197687603
67,04/03/2015,furious 7,190000000,353007020,1518722794
68,05/16/2013,star trek into darkness,190000000,228778661,467381584
69,06/21/2013,world war z,190000000,202359711,531514650
70,05/10/2013,the great gatsby,190000000,144840419,351040419
71,11/06/2009,disneyâs a christmas carol,190000000,137855863,315709697
72,07/12/2013,pacific rim,190000000,101802906,411002906
73,11/25/2015,the good dinosaur,187500000,123087120,333771037
74,05/02/2008,iron man,186000000,318604126,585171547
75,07/18/2008,the dark knight,185000000,533720947,1001996207
76,05/22/2008,indiana jones and the kingdom of the crystal skull,185000000,317101119,786635413
77,06/22/2012,brave,185000000,237282182,554606532
78,03/10/2017,kong: skull island,185000000,168052812,561072059
79,07/22/2016,star trek beyond,185000000,158848340,335802233
80,10/06/2017,blade runner 2049,185000000,92054159,259357408
81,05/24/2019,aladdin,182000000,246734314,619234314
82,11/03/2017,thor: ragnarok,180000000,315058289,846980024
83,12/09/2005,"the chronicles of narnia: the lion, the witch and the wardrobe",180000000,291710957,720539572
84,05/30/2014,maleficent,180000000,241407328,758536735
85,11/18/2016,fantastic beasts and where to find them,180000000,234037575,802402853
86,06/27/2008,wall-e,180000000,223808164,532508025
87,08/10/2007,rush hour 3,180000000,140125968,256585882
88,07/01/2016,the legend of tarzan,180000000,126643061,348902025
89,11/23/2011,hugo,180000000,73864507,180047784
90,07/21/2017,valerian and the city of a thousand planets,180000000,40479370,215098356
91,02/06/2015,jupiter ascending,179000000,47482519,181982519
92,07/27/2018,mission: impossibleâfallout,178000000,220159104,787456552
93,05/27/2016,x-men: apocalypse,178000000,155442489,542537546
94,08/10/2018,the meg,178000000,145443742,529530715
95,06/06/2014,edge of tomorrow,178000000,100206256,370541256
96,03/08/2019,captain marvel,175000000,426525952,1123061550
97,04/15/2016,the jungle book,175000000,364001123,962854547
98,06/19/2015,inside out,175000000,356461711,854235992
99,07/07/2017,spider-man: homecoming,175000000,334201140,880166350
100,08/05/2016,suicide squad,175000000,325100054,746059887
1,05/29/2009,up,175000000,293004164,731463377
2,11/22/2017,coco,175000000,209726015,798008101
3,11/21/2018,ralph breaks the internet,175000000,201091711,524283695
4,03/27/2009,monsters vs. aliens,175000000,198351526,381687380
5,06/16/2017,cars 3,175000000,152901115,383541369
6,08/07/2009,g.i. joe: the rise of cobra,175000000,150201498,302469017
7,06/30/1999,wild wild west,175000000,113805681,221229335
8,08/01/2008,the mummy: tomb of the dragon emperor,175000000,102491776,405760225
9,06/22/2007,evan almighty,175000000,100289690,174131329
10,07/28/1995,waterworld,175000000,88246220,264246220
11,05/12/2017,king arthur: legend of the sword,175000000,39175066,139630336
12,12/25/2013,47 ronin,175000000,38362475,151716815
13,06/22/2018,jurassic world: fallen kingdom,170000000,417719760,1305772799
14,08/01/2014,guardians of the galaxy,170000000,333172112,770867516
15,05/07/2010,iron man 2,170000000,312433331,621156389
16,04/04/2014,captain america: the winter soldier,170000000,259746958,714401889
17,07/11/2014,dawn of the planet of the apes,170000000,208545589,710644566
18,11/10/2004,the polar express,170000000,187224605,311365187
19,06/01/2012,snow white and the huntsman,170000000,155136755,401021746
20,07/01/2003,terminator 3: rise of the machines,170000000,150358296,433058296
21,05/07/2004,van helsing,170000000,120150546,300150546
22,03/29/2019,dumbo,170000000,113883318,345004422
23,05/22/2015,tomorrowland,170000000,93436322,206627518
24,02/14/2019,alita: battle angel,170000000,85710210,402976036
25,05/31/2019,godzilla: king of the monsters,170000000,85576941,299276941
26,05/27/2016,alice through the looking glass,170000000,77042381,276928112
27,05/21/2010,shrek forever after,165000000,238736787,756244673
28,11/04/2016,doctor strange,165000000,232641920,676404566
29,11/07/2014,big hero 6,165000000,222527828,652127828
30,03/26/2010,how to train your dragon,165000000,217581232,494870992
31,11/02/2012,wreck-it ralph,165000000,189412677,496511521
32,11/05/2014,interstellar,165000000,188017894,666379375
33,06/24/2016,independence day: resurgence,165000000,103144286,384169424
34,07/29/2011,cowboys and aliens,163000000,100368560,176038324
35,03/17/2017,beauty and the beast,160000000,504014165,1259199706
36,12/21/2018,aquaman,160000000,335061807,1146894640
37,05/17/2007,shrek the third,160000000,322719944,807330936
38,07/16/2010,inception,160000000,292576195,835524642
39,11/20/2015,the hunger games: mockingjay - part 2,160000000,281723902,648986787
40,05/24/2013,fast and furious 6,160000000,238679850,789300444
41,05/16/2014,godzilla,160000000,200676069,529076069
42,06/03/2011,x-men: first class,160000000,146408305,355408305
43,12/25/2008,the curious case of benjamin button,160000000,127509326,329631958
44,07/14/2010,the sorcerer's apprentice,160000000,63150991,217986320
45,05/12/2006,poseidon,160000000,60674817,181674817
46,06/10/2016,warcraft,160000000,47225655,425522281
47,09/30/2016,deepwater horizon,156000000,61433527,122603824
48,12/10/2010,the chronicles of narnia: the voyage of the dawn treader,155000000,104386950,418186950
49,07/01/2015,terminator: genisys,155000000,89760956,432150894
50,03/23/2018,pacific rim: uprising,155000000,59874525,290930148
51,11/24/2004,alexander,155000000,34297191,167297191
52,07/14/2017,war for the planet of the apes,152000000,146880162,489592267
53,05/25/2001,pearl harbor,151500000,198539855,449239855
54,07/02/2007,transformers,151000000,319246193,708272592
55,06/02/2017,wonder woman,150000000,412563408,821133378
56,11/22/2013,frozen,150000000,400738009,1272469910
57,03/04/2016,zootopia,150000000,341268248,1019429616
58,07/11/2007,harry potter and the order of the phoenix,150000000,292137260,943076457
59,11/18/2005,harry potter and the goblet of fire,150000000,290201752,897099794
60,05/15/2003,the matrix reloaded,150000000,281553689,738576929
61,12/14/2007,i am legend,150000000,256393010,585532684
62,11/23/2016,moana,150000000,248757044,637517365
63,07/01/2008,hancock,150000000,227946274,624234272
64,07/15/2005,charlie and the chocolate factory,150000000,206459076,475825484
65,06/29/2007,ratatouille,150000000,206445654,626549695
66,11/08/2013,thor: the dark world,150000000,206362140,644602516
67,06/15/2005,batman begins,150000000,205343774,359142722
68,07/31/2015,mission: impossibleârogue nation,150000000,195042377,688858992
69,07/21/2017,dunkirk,150000000,190068280,499837368
70,05/06/2011,thor,150000000,181030624,449326618
71,11/07/2008,madagascar: escape 2 africa,150000000,180174880,599680774
72,05/01/2009,x-men origins: wolverine,150000000,179883157,374825760
73,05/22/2009,night at the museum: battle of the smithsonian,150000000,177243721,402231063
74,05/26/2011,kung fu panda 2,150000000,165249063,664837547
75,05/15/2015,mad max: fury road,150000000,153636354,370098020
76,05/10/2019,pokã©mon: detective pikachu,150000000,139507806,411258433
77,11/05/2003,the matrix revolutions,150000000,139270910,427300260
78,03/29/2018,ready player one,150000000,137690172,579290136
79,11/04/2005,chicken little,150000000,135386665,310043823
80,05/05/2006,mission: impossible iii,150000000,133501348,397501348
81,05/15/2009,angels & demons,150000000,133375846,490875846
82,05/14/2004,troy,150000000,133298577,484161265
83,07/01/2010,the last airbender,150000000,131772187,319713881
84,11/02/2007,bee movie,150000000,126631277,287594577
85,07/24/2009,g-force,150000000,119436770,292817841
86,11/21/2008,bolt,150000000,114053579,328015029
87,03/30/2012,wrath of the titans,150000000,83670083,305270083
88,11/16/2007,beowulf,150000000,82280579,195080579
89,05/11/2012,dark shadows,150000000,79727149,238202668
90,06/28/2013,white house down,150000000,73103784,205440387
91,02/12/2010,the wolfman,150000000,62189884,142634358
92,02/17/2017,the great wall,150000000,45157105,334486852
93,10/09/2015,pan,150000000,35088320,151525973
94,03/11/2011,mars needs moms,150000000,21392758,39549758
95,12/31/2020,moonfall,150000000,0,0
96,11/03/2006,flushed away,149000000,64665672,179357126
97,06/08/2012,madagascar 3: europe's most wanted,145000000,216391482,746921271
98,12/16/2011,mission: impossibleâghost protocol,145000000,209397903,694713230
99,06/13/2014,how to train your dragon 2,145000000,177002924,614586270
100,06/16/1999,tarzan,145000000,171091819,448191819
1,03/07/2014,mr. peabody & sherman,145000000,111506430,269806430
2,11/21/2012,rise of the guardians,145000000,103412758,306900902
3,04/08/2005,sahara,145000000,68671925,121671925
4,07/15/2016,ghostbusters,144000000,128350574,229008658
5,11/22/2002,die another day,142000000,160942139,431942139
6,07/09/2003,pirates of the caribbean: the curse of the black pearl,140000000,305411224,634954103
7,05/08/2009,star trek,140000000,257730019,386839614
8,07/01/1998,armageddon,140000000,201578182,554600000
9,07/03/2002,men in black 2,140000000,190418803,441767803
10,07/22/2011,captain america: the first avenger,140000000,176654505,370569776
11,01/29/2016,kung fu panda 3,140000000,143528619,517599142
12,07/10/1998,lethal weapon 4,140000000,130444603,285400000
13,03/27/2013,g.i. joe: retaliation,140000000,122523060,375740705
14,12/05/2003,the last samurai,140000000,111110575,456810575
15,12/21/2005,fun with dick and jane,140000000,110550000,203018919
16,12/12/2014,exodus: gods and kings,140000000,65014513,268314513
17,07/01/2016,the bfg,140000000,55483770,199646680
18,02/26/2016,gods of egypt,140000000,31153464,138836756
19,05/03/2002,spider-man,139000000,403706375,821706375
20,03/06/2009,watchmen,138000000,107509799,186976250
21,07/29/2005,stealth,138000000,32116746,76416746
22,06/13/2008,the incredible hulk,137500000,134806913,265573859
23,06/20/2003,hulk,137000000,132177234,245075434
24,07/11/2001,final fantasy: the spirits within,137000000,32131830,85131830
25,11/16/2012,"the twilight saga: breaking dawn, part 2",136200000,292324737,829724737
26,03/22/2013,the croods,135000000,187168425,573068425
27,12/25/2015,the revenant,135000000,183637894,532938302
28,11/19/1999,the world is not enough,135000000,126930660,361730660
29,03/04/2011,rango,135000000,123477607,245724600
30,11/14/2003,master and commander: the far side of the world,135000000,93926386,212912137
31,07/17/2013,turbo,135000000,83028130,286896578
32,06/03/2016,teenage mutant ninja turtles: out of the shadows,135000000,82051601,245328374
33,11/18/2011,happy feet two,135000000,64006466,157956466
34,07/28/2006,miami vice,135000000,63478838,163818556
35,11/02/2018,the nutcracker and the four realms,132900000,54858851,170293899
36,06/29/2005,war of the worlds,132000000,234280354,606836535
37,11/26/2014,penguins of madagascar,132000000,83350911,366942531
38,11/22/2013,the hunger games: catching fire,130000000,424668047,864868047
39,06/04/2004,harry potter and the prisoner of azkaban,130000000,249757726,796907323
40,08/03/2007,the bourne ultimatum,130000000,227471070,444043396
41,07/06/2018,ant-man and the wasp,130000000,216648740,623144660
42,06/06/2008,kung fu panda,130000000,215434591,631910531
43,07/17/2015,ant-man,130000000,180202163,518858449
44,03/27/2015,home,130000000,177397510,385997896
45,12/19/2018,mary poppins returns,130000000,171958438,341528518
46,10/28/2011,puss in boots,130000000,149260504,554987477
47,11/05/2010,megamind,130000000,148415853,321887208
48,07/18/2003,bad boys ii,130000000,138540870,273271982
49,04/11/2014,rio 2,130000000,131538435,492846291
50,07/23/2010,salt,130000000,118311368,290650494
51,03/28/2014,noah,130000000,101200044,352831065
52,12/21/2011,the adventures of tintin,130000000,77591831,373993951
53,05/31/2013,after earth,130000000,60522097,251499665
54,11/26/2008,australia,130000000,49554002,215080810
55,07/19/2013,r.i.p.d.,130000000,33618855,79076678
56,02/22/2019,how to train your dragon: the hidden world,129000000,160791800,519258283
57,11/18/2011,"the twilight saga: breaking dawn, part 1",127500000,281287133,689420051
58,05/19/2000,dinosaur,127500000,137748063,356148063
59,03/03/2017,logan,127000000,226277068,615461394
60,12/19/2014,night at the museum: secret of the tomb,127000000,113746621,353756621
61,07/15/2011,harry potter and the deathly hallows: part ii,125000000,381193157,1341693157
62,11/21/2014,the hunger games: mockingjay - part 1,125000000,337135885,766575131
63,11/16/2001,harry potter and the sorcererâs stone,125000000,317871467,975047606
64,11/19/2010,harry potter and the deathly hallows: part i,125000000,296131568,960431568
65,05/19/2006,the da vinci code,125000000,217536138,767820459
66,05/02/2003,x-men 2,125000000,214949694,406875536
67,04/29/2011,fast five,125000000,210031325,630163454
68,08/08/2014,teenage mutant ninja turtles,125000000,191204754,485004754
69,12/16/2011,sherlock holmes: a game of shadows,125000000,186848418,535663443
70,05/28/2004,the day after tomorrow,125000000,186740799,556319450
71,03/31/2017,the boss baby,125000000,175003033,510878762
72,04/01/2010,clash of the titans,125000000,163214888,493214888
73,11/04/2016,trolls,125000000,153707064,344150134
74,05/19/1998,godzilla,125000000,136314294,376000000
75,06/08/2012,prometheus,125000000,126477084,402448265
76,08/10/2012,the bourne legacy,125000000,113203870,280355920
77,06/20/1997,batman & robin,125000000,107325195,238317814
78,07/13/2018,skyscraper,125000000,68420120,304115534
79,08/03/2012,total recall,125000000,58877969,211856088
80,12/21/2016,assassinâs creed,125000000,54647948,240759682
81,01/13/2017,monster trucks,125000000,33370166,61642798
82,08/27/1999,the 13th warrior,125000000,32698899,61698899
83,11/17/2000,how the grinch stole christmas,123000000,260044825,345141403
84,05/24/2000,mission: impossible 2,120000000,215409889,549588516
85,06/30/2000,the perfect storm,120000000,182618434,328711434
86,07/29/2016,jason bourne,120000000,162192920,416168316
87,06/15/2007,fantastic four: rise of the silver surfer,120000000,131921738,289480691
88,11/21/2012,life of pi,120000000,124987022,620912003
89,02/16/2007,ghost rider,120000000,115802596,229545589
90,04/13/2018,rampage,120000000,101028233,428056280
91,06/27/2003,charlie's angels: full throttle,120000000,100814328,227200000
92,08/09/2013,elysium,120000000,93050117,286192091
93,04/19/2013,oblivion,120000000,89107235,287916633
94,03/24/2017,power rangers,120000000,85364450,142531552
95,07/19/2002,stuart little 2,120000000,64956806,166000000
96,02/12/2014,robocop,120000000,58607007,242981799
97,06/11/2004,the chronicles of riddick,120000000,57712751,107212751
98,08/07/2015,fantastic four,120000000,56117548,167849187
99,05/09/2008,speed racer,120000000,43945766,93394462
100,07/22/2005,the island,120000000,35818913,163018913
1,12/17/2010,how do you know?,120000000,30212620,49628177
2,06/23/2010,knight and day,117000000,76423035,258751370
3,10/05/2018,venom,116000000,213511408,853628605
4,05/19/1999,star wars ep. i: the phantom menace,115000000,474544677,1027044677
5,05/19/2005,star wars ep. iii: revenge of the sith,115000000,380270577,848998877
6,05/16/2002,star wars ep. ii: attack of the clones,115000000,310676740,656695615
7,11/02/2001,"monsters, inc.",115000000,289423425,559757719
8,07/26/2013,the wolverine,115000000,132556852,416456852
9,02/07/1997,dante's peak,115000000,67163857,178200000
10,04/22/2016,the huntsman: winterâs war,115000000,48003015,165149302
11,06/14/2002,windtalkers,115000000,40914068,77628265
12,07/04/2008,astã©rix aux jeux olympiques,113500000,999811,132999811
13,12/25/2010,gulliver's travels,112000000,42779261,232017848
14,12/15/2017,ferdinand,111000000,84410380,289847930
15,05/18/2018,deadpool 2,110000000,324591735,786680557
16,10/04/2013,gravity,110000000,274092705,693698673
17,12/22/2006,night at the museum,110000000,250863268,579446407
18,06/10/2005,mr. and mrs. smith,110000000,186336279,486124090
19,05/29/2015,san andreas,110000000,155190832,456258539
20,07/29/2011,the smurfs,110000000,142614158,563749323
21,06/27/2007,live free or die hard,110000000,134529403,382288147
22,03/20/2015,the divergent series: insurgent,110000000,130179072,295075882
23,12/10/2004,ocean's twelve,110000000,125531634,362989076
24,12/19/1997,tomorrow never dies,110000000,125304276,339504276
25,06/28/2000,the patriot,110000000,113330342,215300000
26,03/07/2014,300: rise of an empire,110000000,106580051,330780051
27,12/17/2004,the aviator,110000000,102608827,208370892
28,12/21/2016,passengers,110000000,100014699,302239672
29,01/14/2011,the green hornet,110000000,98780042,229155503
30,09/30/2016,miss peregrineâs home for peculiar children,110000000,87242834,295986876
31,10/07/2011,real steel,110000000,85463309,263880341
32,06/11/2010,the a-team,110000000,77222099,177241171
33,07/31/2013,the smurfs 2,110000000,71017784,348547523
34,03/18/2016,the divergent series: allegiant,110000000,66184051,172022517
35,06/12/2009,the taking of pelham 123,110000000,65452312,152364370
36,11/01/2013,ender's game,110000000,61737191,127983283
37,04/02/2004,home on the range,110000000,50026353,76482461
38,06/13/1997,speed 2: cruise control,110000000,48097081,150468000
39,05/06/2005,kingdom of heaven,110000000,47398413,218853353
40,03/31/2017,ghost in the shell,110000000,40563557,167910690
41,06/16/2004,around the world in 80 days,110000000,24004159,72004159
42,06/14/2019,men in black: international,110000000,3100000,3100000
43,12/19/2001,the lord of the rings: the fellowship of the ring,109000000,315544750,887210985
44,11/21/2003,the cat in the hat,109000000,101018283,133818283
45,12/25/2001,ali,109000000,58183966,87683966
46,10/02/2015,the martian,108000000,228433663,655271443
47,11/23/2016,allied,106000000,40098064,119266661
48,07/16/2004,"i, robot",105000000,144801023,348629585
49,12/17/1999,stuart little,105000000,140015224,298815224
50,11/25/2009,the princess and the frog,105000000,104400899,270997378
51,03/07/2008,"10,000 b.c.",105000000,94784201,269065678
52,07/22/2016,ice age: collision course,105000000,64063008,402156682
53,04/27/2001,town & country,105000000,6712451,10364769
54,09/22/2017,kingsman: the golden circle,104000000,100234838,408803696
55,06/09/2000,gone in 60 seconds,103300000,101643008,232643008
56,05/05/2000,gladiator,103000000,187683805,457683805
57,05/23/2013,the hangover 3,103000000,112200072,362000072
58,03/09/2018,a wrinkle in time,103000000,100478608,133401882
59,07/01/2009,public enemies,102500000,97104620,212282709
60,11/17/2006,casino royale,102000000,167365000,594420283
61,06/21/2002,minority report,102000000,132024714,358824714
62,12/21/2018,bumblebee,102000000,127195589,465195589
63,10/26/2012,cloud atlas,102000000,27108272,130673154
64,11/15/2002,harry potter and the chamber of secrets,100000000,262233381,879225135
65,07/02/1991,terminator 2: judgment day,100000000,203464105,515419827
66,06/16/1995,batman forever,100000000,184031112,336529144
67,07/27/2001,planet of the apes,100000000,180011740,362211740
68,11/19/2004,national treasure,100000000,173005002,331323410
69,12/25/2012,django unchained,100000000,162805434,449948323
70,12/22/2010,little fockers,100000000,148438600,310650574
71,07/15/1994,true lies,100000000,146282411,365300000
72,11/02/2007,american gangster,100000000,130164645,267985456
73,09/18/2009,cloudy with a chance of meatballs,100000000,124870275,236827677
74,08/06/2010,the other guys,100000000,119219978,170936470
75,12/17/2004,lemony snicket's a series of unfortunate events,100000000,118627117,212956024
76,12/25/2013,the wolf of wall street,100000000,116900694,389870414
77,05/24/2013,epic,100000000,107518682,262794441
78,06/21/1996,eraser,100000000,101295562,234400000
79,06/21/1996,the hunchback of notre dame,100000000,100138851,325500000
80,12/15/2000,the emperor's new groove,100000000,89296573,169296573
81,08/17/2012,the expendables 2,100000000,85028192,311979256
82,10/16/2009,where the wild things are,100000000,77233467,99123656
83,12/15/2006,eragon,100000000,75030163,249488115
84,07/25/2014,hercules,100000000,72688614,243388614
85,12/10/2010,the tourist,100000000,67631157,278731369
86,11/24/1999,end of days,100000000,66889043,212026975
87,06/11/2004,the stepford wives,100000000,59475623,96221971
88,06/08/2007,surf's up,100000000,58867694,145395745
89,12/08/2006,blood diamond,100000000,57377916,171377916
90,09/24/2010,legend of the guardians: the owls of ga'hoole,100000000,55675313,139716717
91,11/07/1997,starship troopers,100000000,54768952,121100000
92,06/05/2009,land of the lost,100000000,49438370,69548641
93,12/25/2003,peter pan,100000000,48417850,95255485
94,03/15/2019,wonder park,100000000,45216793,115149422
95,07/23/2004,catwoman,100000000,40202379,82145379
96,08/15/2014,the expendables 3,100000000,39322544,209461378
97,11/27/2002,treasure planet,100000000,38120554,91800000
98,03/12/2010,green zone,100000000,35497337,97523020
99,10/20/2017,geostorm,100000000,33700160,220796009
100,12/25/2015,point break,100000000,28782481,126704591
1,12/11/2015,in the heart of the sea,100000000,25020758,89693309
2,04/18/2014,transcendence,100000000,23022309,103039258
3,02/18/2005,son of the mask,100000000,17018422,59918422
4,12/14/2018,mortal engines,100000000,15951040,85287417
5,08/16/2002,the adventures of pluto nash,100000000,4411102,7094995
6,01/20/2012,jin lã­ng shã­ san chai,100000000,311434,98227017
7,11/06/2015,the peanuts movie,99000000,130178411,250091610
8,02/08/2019,the lego movie 2: the second part,99000000,105806508,190325698
9,11/21/2018,robin hood,99000000,30824628,84747441
10,05/04/2001,the mummy returns,98000000,202007640,435040395
11,12/20/2002,gangs of new york,97000000,77730500,183124621
12,05/19/2017,alien: covenant,97000000,74262031,238521247
13,03/13/2015,cinderella,95000000,201151353,534551353
14,07/13/2012,ice age: continental drift,95000000,161321843,879765137
15,12/28/2001,black hawk down,95000000,108638745,159691085
16,05/27/2010,sex and the city 2,95000000,95347692,294680778
17,02/12/2010,percy jackson & the olympians: the lightning thief,95000000,88768303,223050874
18,08/10/2012,the campaign,95000000,86907746,104907746
19,11/12/2010,unstoppable,95000000,81562942,165720921
20,05/09/1997,the fifth element,95000000,63570862,263898761
21,03/31/2000,the road to el dorado,95000000,50802661,65700000
22,12/11/2009,the lovely bones,95000000,44114232,94894448
23,08/19/2016,ben-hur,95000000,26410477,91669648
24,02/06/2015,seventh son,95000000,17725785,108874967
25,05/30/2003,finding nemo,94000000,380529370,936429370
26,12/17/2003,the lord of the rings: the return of the king,94000000,377845905,1141403341
27,12/18/2002,the lord of the rings: the two towers,94000000,342548984,934699645
28,06/15/2001,lara croft: tomb raider,94000000,131144183,273330185
29,02/13/2015,kingsman: the secret service,94000000,128261724,404561724
30,07/18/2001,jurassic park iii,93000000,181166115,365900000
31,08/05/2011,rise of the planet of the apes,93000000,176760185,470986200
32,02/14/2008,the spiderwick chronicles,92500000,71195053,162839667
33,11/05/2004,the incredibles,92000000,261441092,614726752
34,02/14/2013,a good day to die hard,92000000,67349198,304249198
35,04/09/2004,the alamo,92000000,22406362,23911362
36,12/22/1995,cutthroat island,92000000,10017322,18517322
37,12/25/2013,the secret life of walter mitty,91000000,58236838,187861183
38,12/20/2017,jumanji: welcome to the jungle,90000000,404508916,964496193
39,07/01/1997,men in black,90000000,250690539,587790539
40,11/19/1999,toy story 2,90000000,245852179,511358276
41,08/03/2001,rush hour 2,90000000,226164286,347425832
42,12/25/2009,sherlock holmes,90000000,209028679,498438212
43,07/01/2009,ice age: dawn of the dinosaurs,90000000,196573705,859701857
44,12/14/2018,spider-man: into the spider-verse 3d,90000000,190173195,375381768
45,07/21/2000,what lies beneath,90000000,155464351,288693989
46,04/15/2011,rio,90000000,143619809,487519809
47,10/06/2006,the departed,90000000,132384315,289660619
48,11/03/2000,charlie's angels,90000000,125305545,259736090
49,06/19/1998,mulan,90000000,120620254,303500000
50,08/13/2008,tropic thunder,90000000,110515313,191145256
51,12/20/2011,the girl with the dragon tattoo,90000000,102515793,239373970
52,07/11/1997,contact,90000000,100920329,165900000
53,06/06/2008,you don't mess with the zohan,90000000,100018837,202910991
54,05/19/1995,die hard: with a vengeance,90000000,100012499,366101666
55,09/23/2016,the magnificent seven,90000000,93432655,162525156
56,12/18/2015,alvin and the chipmunks: the road chip,90000000,85886987,249517956
57,06/08/2001,atlantis: the lost empire,90000000,84052762,186049020
58,12/25/2008,valkyrie,90000000,83107829,203932174
59,07/24/2015,pixels,90000000,78765986,244041804
60,06/29/2001,artificial intelligence: ai,90000000,78616689,235900000
61,11/26/2003,the haunted mansion,90000000,75817994,155750628
62,08/04/2000,hollow man,90000000,73209340,191200000
63,04/22/2005,the interpreter,90000000,72708161,162753837
64,08/07/2013,percy jackson: sea of monsters,90000000,68559554,200859554
65,07/25/2003,lara croft: tomb raider: the cradle of life,90000000,65653758,157092943
66,06/10/2016,now you see me 2,90000000,65075540,328325007
67,11/21/2001,spy game,90000000,62362560,143049560
68,04/04/1997,the saint,90000000,61363304,169400000
69,03/10/2000,mission to mars,90000000,60874615,106000000
70,03/16/2018,tomb raider,90000000,58250803,273477501
71,12/17/1999,bicentennial man,90000000,58220776,87420776
72,07/07/2004,king arthur,90000000,51877963,203877963
73,04/25/1997,volcano,90000000,47546796,120100000
74,03/26/1997,the devil's own,90000000,42885593,140900000
75,07/19/2002,k-19: the widowmaker,90000000,35168966,65716126
76,08/19/2011,conan the barbarian,90000000,21295021,63356133
77,10/21/2011,the three musketeers,90000000,20377913,139877913
78,04/21/2017,the promise,90000000,8224288,10551417
79,11/24/2010,the nutcracker in 3d,90000000,195459,20466016
80,12/13/2017,bright,90000000,0,0
81,12/31/2019,army of the dead,90000000,0,0
82,05/10/1996,twister,88000000,241688385,495700000
